rank,model,provider,tier,status,context,input_cost,output_cost,org_level,specialization,role,strength,humaneval_score,swe_bench_score,openrouter_url,last_updated
1,openai/gpt-5.1,openai,premium,paid,400K,1.25,10,executive,general,lead_architect,next_generation,90.0,80.0,https://openrouter.ai/openai/gpt-5.1,2026-08-25
2,anthropic/claude-opus-4.6,anthropic,premium,paid,1M,5,25,executive,agentic,system_architect,agentic_workflows,89.0,82.0,https://openrouter.ai/anthropic/claude-opus-4.6,2026-08-25
3.5,openai/gpt-5.1-codex,openai,premium,paid,400K,1.25,10,executive,coding,lead_architect,coding,92.0,85.0,https://openrouter.ai/openai/gpt-5.1-codex,2026-08-25
3.6,google/gemini-3.1-pro-preview,google,premium,paid,1M,2,12,executive,reasoning,lead_architect,multimodal,88.0,82.0,https://openrouter.ai/google/gemini-3.1-pro-preview,2026-08-25
4,anthropic/claude-sonnet-4.5,anthropic,high_perf,paid,1M,3,15,senior,reasoning,senior_developer,agentic,87.0,80.0,https://openrouter.ai/anthropic/claude-sonnet-4.5,2026-08-25
5,openai/gpt-5-mini,openai,high_perf,paid,400K,0.25,2,senior,general,senior_developer,efficient,85.0,75.0,https://openrouter.ai/openai/gpt-5-mini,2026-08-25
6.5,openai/gpt-5.1-codex-mini,openai,high_perf,paid,400K,0.25,2,senior,coding,senior_developer,coding,88.0,78.0,https://openrouter.ai/openai/gpt-5.1-codex-mini,2026-08-25
7,deepseek/deepseek-r1-0528,deepseek,high_perf,paid,164K,0.5,2.15,senior,reasoning,security_analyst,reasoning,82.0,72.0,https://openrouter.ai/deepseek/deepseek-r1-0528,2026-08-25
8,google/gemini-2.5-flash,google,open_source,paid,1M,0.3,2.5,senior,general,senior_developer,speed,78.0,65.0,https://openrouter.ai/google/gemini-2.5-flash,2026-08-25
9,openai/o4-mini,openai,open_source,paid,200K,1.1,4.4,senior,general,senior_developer,compact,80.0,70.0,https://openrouter.ai/openai/o4-mini,2026-08-25
10,qwen/qwen3-coder,qwen,open_source,paid,262K,0.3,1,senior,coding,senior_developer,coding,85.0,70.0,https://openrouter.ai/qwen/qwen3-coder,2026-08-25
11,mistralai/mistral-large-2512,mistral,open_source,paid,262K,0.5,1.5,senior,general,senior_developer,european,75.0,65.0,https://openrouter.ai/mistralai/mistral-large-2512,2026-08-25
12,openai/gpt-5-nano,openai,value_tier,paid,400K,0.05,0.4,senior,general,senior_developer,ultralight,78.0,68.0,https://openrouter.ai/openai/gpt-5-nano,2026-08-25
13,moonshotai/kimi-k2,moonshotai,value_tier,paid,131K,0.57,2.3,senior,general,senior_developer,chinese,75.0,65.0,https://openrouter.ai/moonshotai/kimi-k2,2026-08-25
14,microsoft/phi-4,microsoft,value_tier,paid,16K,0.07,0.14,senior,debugging,senior_developer,compact,75.0,62.0,https://openrouter.ai/microsoft/phi-4,2026-08-25
14.5,x-ai/grok-4.6,x-ai,value_tier,paid,500K,2,6,senior,coding,senior_developer,fast_coding,82.0,70.0,https://openrouter.ai/x-ai/grok-4.6,2026-08-25
14.6,google/gemini-3-pro-image-preview,google,value_tier,paid,66K,2,12,senior,vision,senior_developer,image_generation,70.0,50.0,https://openrouter.ai/google/gemini-3-pro-image-preview,2026-08-25
9,google/gemini-2.5-flash-lite,google,value_tier,paid,1M,0.1,0.4,senior,general,senior_developer,speed,76.0,62.0,https://openrouter.ai/google/gemini-2.5-flash-lite,2026-08-25
10,z-ai/glm-5.2:free,z-ai,free_champion,free,256K,0.0,0.0,junior,reasoning,technical_validator,long_horizon_agentic,84.0,74.0,https://openrouter.ai/z-ai/glm-5.2:free,2026-08-25
11,thinkingmachines/inkling:free,thinkingmachines,free_champion,free,1M,0.0,0.0,junior,general,code_reviewer,general_reasoning,83.0,72.0,https://openrouter.ai/thinkingmachines/inkling:free,2026-08-25
12,poolside/laguna-s-2.1:free,poolside,free_champion,free,262K,0.0,0.0,junior,coding,senior_developer,coding_agent,82.0,71.0,https://openrouter.ai/poolside/laguna-s-2.1:free,2026-08-25
13,minimax/minimax-m3:free,minimax,free_champion,free,1M,0.0,0.0,junior,general,technical_validator,long_context_multimodal,81.0,70.0,https://openrouter.ai/minimax/minimax-m3:free,2026-08-25
14,nvidia/nemotron-3-ultra-550b-a55b:free,nvidia,free_champion,free,1M,0.0,0.0,junior,reasoning,system_architect,frontier_reasoning,80.0,69.0,https://openrouter.ai/nvidia/nemotron-3-ultra-550b-a55b:free,2026-08-25
15,minimax/minimax-m2.7:free,minimax,free_tier,free,197K,0.0,0.0,junior,agentic,senior_developer,agentic_workflows,78.0,67.0,https://openrouter.ai/minimax/minimax-m2.7:free,2026-08-25
16,thinkingmachines/inkling-small:free,thinkingmachines,free_tier,free,1M,0.0,0.0,junior,general,code_reviewer,efficient_reasoning,78.0,66.0,https://openrouter.ai/thinkingmachines/inkling-small:free,2026-08-25
17,nvidia/nemotron-3-super-120b-a12b:free,nvidia,free_tier,free,262K,0.0,0.0,junior,general,technical_validator,multi_agent,77.0,65.0,https://openrouter.ai/nvidia/nemotron-3-super-120b-a12b:free,2026-08-25
18,cohere/north-mini-code:free,cohere,free_tier,free,256K,0.0,0.0,junior,coding,senior_developer,agentic_coding,76.0,64.0,https://openrouter.ai/cohere/north-mini-code:free,2026-08-25
19,google/gemma-4-31b-it:free,google,free_tier,free,262K,0.0,0.0,junior,general,code_reviewer,multimodal_open,74.0,60.0,https://openrouter.ai/google/gemma-4-31b-it:free,2026-08-25
